"Level","BusinessSegment","Department","Unit","FullName","Abbreviation","Source","Notes"
"Segment","Group Head Office","","","Group Head Office","GHO","from client tokens",""
"Department","Group Head Office","Group Corporate Affairs","","Group Corporate Affairs","GCA","corrected: client typed CGA on 12 of 13 rows; GCA on the other",""
"Unit","Group Head Office","Group Corporate Affairs","Elaeis Garden (Hospitality)","Elaeis Garden (Hospitality)","EG","from client tokens",""
"Unit","Group Head Office","Group Corporate Affairs","Global Marketing & Branding - Product Marketing B2C","Global Marketing & Branding - Product Marketing B2C","GMB_PMB2C","from client tokens",""
"Unit","Group Head Office","Group Corporate Affairs","Global Marketing & Branding - Strategic & Customer Marketing","Global Marketing & Branding - Strategic & Customer Marketing","GMB_SCM","from client tokens",""
"Unit","Group Head Office","Group Corporate Affairs","Global Marketing & Branding - Strategic Communications","Global Marketing & Branding - Strategic Communications","GMB_STRATCOMMS","from client tokens",""
"Unit","Group Head Office","Group Corporate Affairs","Group Communications - Brand Communications","Group Communications - Brand Communications","GC_BRANDCOMMS","from client tokens",""
"Unit","Group Head Office","Group Corporate Affairs","Group Communications - Events & Protocol","Group Communications - Events & Protocol","GC_EP","from client tokens",""
"Unit","Group Head Office","Group Corporate Affairs","Group Communications - Strategic Communications","Group Communications - Strategic Communications","GC_STRATCOMMS","from client tokens",""
"Unit","Group Head Office","Group Corporate Affairs","Group Operation Services - Agri Sumber Prestari","Group Operation Services - Agri Sumber Prestari","GOS_ASP","from client tokens",""
"Unit","Group Head Office","Group Corporate Affairs","Group Operation Services - Chairman Office","Group Operation Services - Chairman Office","GOS_CO","from client tokens",""
"Unit","Group Head Office","Group Corporate Affairs","Group Operation Services - Government Relations","Group Operation Services - Government Relations","GOS_GOVTREL","from client tokens",""
"Unit","Group Head Office","Group Corporate Affairs","Group Operation Services - Workforce Management Unit","Group Operation Services - Workforce Management Unit","GOS_WMU","from client tokens",""
"Unit","Group Head Office","Group Corporate Affairs","Investor Relations","Investor Relations","IR","from client tokens",""
"Unit","Group Head Office","Group Corporate Affairs","Yayasan Guthrie","Yayasan Guthrie","YG","from client tokens",""
"Department","Group Head Office","Group Corporate Secretarial","","Group Corporate Secretarial","COSEC","from client tokens",""
"Unit","Group Head Office","Group Corporate Secretarial","Guthrie","Guthrie","GUTHRIE","from client tokens",""
"Unit","Group Head Office","Group Corporate Secretarial","SDGI","SDGI","SDGI","from client tokens",""
"Department","Group Head Office","Group Finance","","Group Finance","GF","from client tokens",""
"Unit","Group Head Office","Group Finance","Compliance & Operational Risk (CORU)","Compliance & Operational Risk (CORU)","CORU","from client tokens",""
"Unit","Group Head Office","Group Finance","Finance Land & SDGRE","Finance Land & SDGRE","LAND_SDGRE","from client tokens",""
"Unit","Group Head Office","Group Finance","Finance Operations","Finance Operations","FINOPS","from client tokens",""
"Unit","Group Head Office","Group Finance","Finance Upstream Malaysia","Finance Upstream Malaysia","FINUPMY","from client tokens",""
"Unit","Group Head Office","Group Finance","Global Strategic Procurement","Global Strategic Procurement","GSTRATPROC","from client tokens",""
"Unit","Group Head Office","Group Finance","Group IT & Projects","Group IT & Projects","GIT","from client tokens",""
"Unit","Group Head Office","Group Finance","Strategy & Price Risk Management","Strategy & Price Risk Management","STRAT_PRM","from client tokens",""
"Unit","Group Head Office","Group Finance","Tax","Tax","TAX","from client tokens",""
"Unit","Group Head Office","Group Finance","Treasury","Treasury","TREASURY","from client tokens",""
"Department","Group Head Office","Group Human Resources","","Group Human Resources","GHR","from client tokens",""
"Unit","Group Head Office","Group Human Resources","HR Head Office & Org Design - HR Head Office (HR HO)","HR Head Office & Org Design - HR Head Office (HR HO)","HRHO","from client tokens",""
"Unit","Group Head Office","Group Human Resources","HR Head Office & Org Design - Org Design","HR Head Office & Org Design - Org Design","HROD","from client tokens",""
"Unit","Group Head Office","Group Human Resources","Industrial Relations & Compliance","Industrial Relations & Compliance","IRC","from client tokens",""
"Unit","Group Head Office","Group Human Resources","Org Culture & Workplace Services - Admin & Sports","Org Culture & Workplace Services - Admin & Sports","OCWS_ANS","from client tokens",""
"Unit","Group Head Office","Group Human Resources","Org Culture & Workplace Services - Integrated Facilities Management (IFM)","Org Culture & Workplace Services - Integrated Facilities Management (IFM)","OCWS_IFM","from client tokens",""
"Unit","Group Head Office","Group Human Resources","Org Culture & Workplace Services - Org Culture & Transformation (OCT)","Org Culture & Workplace Services - Org Culture & Transformation (OCT)","OCWS_OCT","from client tokens",""
"Unit","Group Head Office","Group Human Resources","Performance & Analytics - Analytics","Performance & Analytics - Analytics","ANALYTICS","from client tokens",""
"Unit","Group Head Office","Group Human Resources","Performance & Analytics - Performance","Performance & Analytics - Performance","PERFORMANCE","from client tokens",""
"Unit","Group Head Office","Group Human Resources","Rewards & HRIS - GHR Payroll","Rewards & HRIS - GHR Payroll","PAYROLL","from client tokens",""
"Unit","Group Head Office","Group Human Resources","Rewards & HRIS - Nadi HRIS","Rewards & HRIS - Nadi HRIS","NHRIS","from client tokens",""
"Unit","Group Head Office","Group Human Resources","Rewards & HRIS - Rewards","Rewards & HRIS - Rewards","REWARDS","from client tokens",""
"Unit","Group Head Office","Group Human Resources","Talent & Learning - GH Campus","Talent & Learning - GH Campus","GHC","from client tokens",""
"Unit","Group Head Office","Group Human Resources","Talent & Learning - Learning & Development (L&D)","Talent & Learning - Learning & Development (L&D)","LND","from client tokens",""
